Title,Author,Link,Year,Conference,Featured,Author Un-Formated,NOTES
Creating a living public oncology drug resource using PRISM cell line viability screening,Rees MG,https://assets.clue.io/aacr/posters/2024_OncRef_Poster_AACR.pdf,2024,AACR,,Matthew G. Rees,
Optimizing 500 PRISM pooled cell lines for a 10-day assay to elucidate viability effects and mechanism of action for slower-acting therapeutics,Ip BC,https://assets.clue.io/aacr/posters/2024_Extended_Day_Assay_Poster_AACR.pdf,2024,AACR,,Blanche C. Ip,"Poster title varied by 1 word from Abstract Title:  ""PRISM"" before or after ""pool"""
Assessing cancer drug combination efficacy across 900+ PRISM cell lines in a multiplexed screening assay,George AB,https://assets.clue.io/aacr/posters/2024_Combinations_Poster_AACR.pdf,2024,AACR,,Ashish Bino George,
"Accelerating the development of biologics: PRISM high throughput screening enables rapid preclinical characterization of antibodies, ADCs and payloads",Eskra J,https://assets.clue.io/aacr/posters/2025_AACR/2025_AACR_ADCs_Poster.pdf,2025,AACR,,Jillian Eskra,
PRISM cancer cell viability profiling enables insights into clinical candidate target selectivity: A case study revealing the most selective PRMT5 inhibitors for cancers with MTAP loss,Doherty L,https://assets.clue.io/aacr/posters/2025_AACR/2025_AACR_PRMT5_Poster.pdf,2025,AACR,,Laura Doherty,
A cellular platform for systematic comparison of RAS inhibitors using PRISM multiplexed screening,Rees MG,https://assets.clue.io/aacr/posters/2025_AACR/2025_AACR_RASi_Poster.pdf,2025,AACR,,Matthew G. Rees,
Unraveling determinants of drug response: PRISM viability profiling of hundreds of oncology therapeutics reveals mediators of selectivity and mechanism,Rees MG,https://assets.clue.io/aacr/posters/2026_OncRef_Poster_AACR.pdf,2026,AACR,1,Matthew G. Rees,Not in Conference Abstracts List
Expanding the PRISM platform: Addition of new hematologic models and a 10-day assay improve drug sensitivity mapping for epigenetic targets,Harrington C,https://assets.clue.io/aacr/posters/2026_Heme-Extended_Poster_AACR.pdf,2026,AACR,,Colleen Harrington,Not in Conference Abstracts List
Beyond viability: Post-treatment single-cell and spatial transcriptomic profiling in mixtures of PRISM barcoded cancer cell lines,Doherty L,https://assets.clue.io/aacr/posters/2026_Single-cell_Poster_AACR.pdf,2026,AACR,,Laura Doherty,Not in Conference Abstracts List
